Business Name,Address,City,State,Zip Code,Business Type,IT Type,Business Description,Year Established,Website,Longitude,Latitude,Location
Tisento Therapeutics,1 Alewife Center Suite 120,Cambridge,MA,02140,Life Sciences,"Health Care, Medical, Therapeutics",Tisento Therapeutics is a MA-based developer of novel medicines to treat diseases with significant unmet medical needs.,,,-71.1398878,42.3985017,POINT (-71.1398878 42.3985017)
Moderna,200 Technology Square,Cambridge,MA,02139,Life Sciences,"Biotechnology, Genetics, Health Care, Medical, Pharmaceutical",Moderna Therapeutics is a biotechnology company that specializes in drug discovery and drug development based on messenger RNA.,01/01/2010 12:00:00 AM,http://www.modernatx.com,-71.0910761,42.3633639,POINT (-71.0910761 42.3633639)
Infinio,222 Third St # 3300,Cambridge,MA,02141,Technology,"Cloud Management, Consulting, Data Storage, IT Infrastructure, Software",Infinio provides downloadable storage performance solutions for virtual environments.,01/01/2011 12:00:00 AM,http://infinio.com,-71.0809403,42.3669415,POINT (-71.0809403 42.3669415)
Tamr,66 Church St,Cambridge,MA,02138,Technology,"Analytics, Data Integration, Database, Enterprise Software",Tamr offers an enterprise-grade data unification platform that allows organizations to consolidate and streamline their data operations.,01/01/2012 12:00:00 AM,http://www.tamr.com,-71.1211445,42.3739503,POINT (-71.1211445 42.3739503)
Zalicus,399 Binney St,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Medical","Zalicus discovers and develops novel-target pain therapies, including calcium channel modulator for chronic and acute inflammatory pain.",01/01/2000 12:00:00 AM,http://www.zalicus.com,-71.0902725,42.3676033,POINT (-71.0902725 42.3676033)
Akebia Therapeutics,245 First St #1400,Cambridge,MA,02142,Life Sciences,"Biotechnology, Health Care, Therapeutics",Akebia Therapeutics develops treatments for ischemia and vascular diseases.,01/01/2007 12:00:00 AM,http://www.akebia.com,-71.0790258,42.363518,POINT (-71.0790258 42.363518)
Cydan,700 Technology Square,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Medical",Cydan is an orphan drug accelerator focused on identifying and de-risking compounds with therapeutic and commercial potential.,01/01/2012 12:00:00 AM,http://www.cydanco.com,-71.0927505,42.3640423,POINT (-71.0927505 42.3640423)
Open Learn,1 Broadway,Cambridge,MA,02142,Technology,"Education, Enterprise Software, Software",OpenLearn is a video-based learning platform.,01/01/2010 12:00:00 AM,http://www.openlearn.tv/,-71.0839263,42.3628373,POINT (-71.0839263 42.3628373)
Wistia,120 Brookline St,Cambridge,MA,02139,Technology,"Analytics, Video, Video Streaming",Wistia is the video platform of choice for business.,06/06/2006 12:00:00 AM,http://wistia.com,-71.1041234,42.3608444,POINT (-71.1041234 42.3608444)
Syndevrx,1 Broadway,Cambridge,MA,02142,Life Sciences,"Biotechnology, Health Care, Medical",SynDevRx develops polymer-based drug conjugates for small molecule drug activity.,01/01/2007 12:00:00 AM,http://syndevrx.com,-71.0835375,42.3627822,POINT (-71.0835375 42.3627822)
Minerva Neuroscience,245 First St #1800,Cambridge,MA,02142,Life Sciences,"Biopharma, Biotechnology, Health Care, Neuroscience",Minerva Neurosciences focuses on the development and commercialization of a portfolio of product candidates to treat CNS diseases.,01/01/2007 12:00:00 AM,http://minervaneurosciences.com,-71.0790258,42.363518,POINT (-71.0790258 42.363518)
Axios Biosciences,763E Concord Ave,Cambridge,MA,02138,Life Sciences,"Biotechnology, Health Care, Oncology, Pharmaceutical",Axios Biosciences is a startup company whose mission is to improve oncology drug discovery and identify drugs.,07/01/2009 12:00:00 AM,http://www.axiosbiosciences.com,-71.1525775,42.3926701,POINT (-71.1525775 42.3926701)
